ingredient,labels
"halibut","Fish"
"sea bass","Fish"
"fish gelatin","Fish"
"glucosamine","Crustaceans"
"abalone","Molluscs"
"clam extract","Molluscs"
"clams","Molluscs"
"cockle","Molluscs"
"cuttlefish ink","Molluscs"
"cuttlefish","Molluscs"
"escargot","Molluscs"
"geoduck","Molluscs"
"ink fish","Molluscs"
"limpet","Molluscs"
"mussel extract","Molluscs"
"mussels","Molluscs"
"octopus","Molluscs"
"oyster extract","Molluscs"
"oysters","Molluscs"
"periwinkle","Molluscs"
"scallops","Molluscs"
"snail","Molluscs"
"squid","Molluscs"
"whelk","Molluscs"
"abalone extract","Molluscs"
"krill oil","Crustaceans"
"barnacle","Crustaceans"
"blue crab","Crustaceans"
"coconut shrimp","Crustaceans"
"cocktail shrimp","Crustaceans"
"crab extract","Crustaceans"
"crab meat","Crustaceans"
"crawfish","Crustaceans"
"crayfish","Crustaceans"
"krill","Crustaceans"
"lobster","Crustaceans"
"langouste","Crustaceans"
"langoustine","Crustaceans"
"moreton bay bug","Crustaceans"
"prawn powder","Crustaceans"
"prawns","Crustaceans"
"rock lobster","Crustaceans"
"seafood extract","Fish"
"seafood extract","Molluscs"
"seafood extract","Crustaceans"
"scampi","Crustaceans"
"shrimp","Crustaceans"
"tomalley","Crustaceans"
"krill oil","Crustaceans"
"benne","Sesame"
"benne seed","Sesame"
"benniseed","Sesame"
"gingelly","Sesame"
"gingelly oil","Sesame"
"gomasio","Sesame"
"halvah","Sesame"
"sesame flour","Sesame"
"sesame paste","Sesame"
"sesame salt","Sesame"
"sesame seed","Sesame"
"sesamol","Sesame"
"Sesamum indicum","Sesame"
"sesamolina","Sesame"
"sim sim","Sesame"
"tahina","Sesame"
"tahini","Sesame"
"tehina","Sesame"
"til","Sesame"
"black sesame","Sesame"
"white sesame","Sesame"
"almond","Tree Nuts"
"almond extract","Tree Nuts"
"almond meal","Tree Nuts"
"almond oil","Tree Nuts"
"almond paste","Tree Nuts"
"almond butter","Tree Nuts"
"brazil nut","Tree Nuts"
"brazilliant","Tree Nuts"
"butternut","Tree Nuts"
"cashew","Tree Nuts"
"cashew butter","Tree Nuts"
"cashew oil","Tree Nuts"
"chinquapin nut","Tree Nuts"
"desiccated coconut","Tree Nuts"
"filbert","Tree Nuts"
"filbert oil","Tree Nuts"
"gianduja","Tree Nuts"
"ginkgo nut","Tree Nuts"
"hazelnut","Tree Nuts"
"hazelnut oil","Tree Nuts"
"hazelnut paste","Tree Nuts"
"hickory nut","Tree Nuts"
"liquitseed","Tree Nuts"
"lychee nut","Tree Nuts"
"macadamia nut","Tree Nuts"
"macadamia butter","Tree Nuts"
"mahleb","Tree Nuts"
"marzipan","Tree Nuts"
"mocha hazelnut","Tree Nuts"
"nangai nut","Tree Nuts"
"nut butter","Tree Nuts"
"nut extract","Tree Nuts"
"nut meal","Tree Nuts"
"nut meat","Tree Nuts"
"nut oil","Tree Nuts"
"nut paste","Tree Nuts"
"nut pieces","Tree Nuts"
"pecan","Tree Nuts"
"pecan oil","Tree Nuts"
"pistachio","Tree Nuts"
"pistachio oil","Tree Nuts"
"praline flavor","Tree Nuts"
"praline","Tree Nuts"
"shea nut","Tree Nuts"
"walnut","Tree Nuts"
"walnut hull extract","Tree Nuts"
"walnut oil","Tree Nuts"
"almond pieces","Tree Nuts"
"hazelnut protein","Tree Nuts"
"Juglans regia extract","Tree Nuts"
"Macadamia integrifolia protein","Tree Nuts"
"monkey nut","Peanuts"
"monkeynut","Peanuts"
"beer nut","Peanuts"
"cold-pressed peanut oil","Peanuts"
"expeller-pressed peanut oil","Peanuts"
"groundnut","Peanuts"
"ground nuts","Peanuts"
"groundnut meal","Peanuts"
"groundnut oil","Peanuts"
"goobers","Peanuts"
"goobernut","Peanuts"
"goober peas","Peanuts"
"groundnut flour","Peanuts"
"monkey nuts","Peanuts"
"mixed nuts","Peanuts"
"nut pieces","Peanuts"
"nut meat","Peanuts"
"peanut butter","Peanuts"
"peanut flour","Peanuts"
"peanut mash","Peanuts"
"peanut meal","Peanuts"
"peanut milk","Peanuts"
"peanut oil","Peanuts"
"peanut paste","Peanuts"
"peanut protein","Peanuts"
"peanut protein concentrate","Peanuts"
"peanut protein hydrolysate","Peanuts"
"peanut protein isolate","Peanuts"
"peanut sauce","Peanuts"
"peanut sherbet","Peanuts"
"peanut sprout","Peanuts"
"peanuts","Peanuts"
"arachis oil","Peanuts"
"groundnut protein","Peanuts"
"peanut brittle","Peanuts"
"peanut extract","Peanuts"
"peanut skins","Peanuts"
"peanut vinegar","Peanuts"
"peanut wheat bread","Peanuts"
"volunteers peanuts","Peanuts"
"soya bean","Soy"
"soya","Soy"
"soy","Soy"
"soy bean","Soy"
"soy bean products","Soy"
"soy concentrate","Soy"
"soy flour","Soy"
"soy isolate","Soy"
"soy protein","Soy"
"soy protein concentrate","Soy"
"soy protein isolate","Soy"
"soy sauce","Soy"
"soy sauce","Gluten"
"shoyu","Soy"
"tamari","Soy"
"tamari","Gluten"
"tempeh","Soy"
"tempeh flour","Soy"
"teriyaki sauce","Soy"
"teriyaki sauce","Gluten"
"textured soy protein","Soy"
"textured vegetable protein","Soy"
"tofu","Soy"
"tofu whey","Soy"
"tofu solids","Soy"
"natto","Soy"
"bean curd","Soy"
"edamame","Soy"
"sojabean","Soy"
"soya lecithin","Soy"
"soy lipids","Soy"
"iso soy oil","Soy"
"soy meal","Soy"
"soy lecithin","Soy"
"soy dairy","Soy"
"soy nut","Soy"
"soya nugget","Soy"
"soynut butter","Soy"
"sesame seeds","Sesame"
"sesame butter","Sesame"
"sesame cake","Sesame"
"sesame essence","Sesame"
"celeriac","Celery"
"apium graveolens","Celery"
"celery powder","Celery"
"celery root","Celery"
"celery salt","Celery"
"celery seed","Celery"
"celery flake","Celery"
"celery extract","Celery"
"celery seed oil","Celery"
"celery seed powder","Celery"
"celery seed flour","Celery"
"celery seasoning","Celery"
"celery juice","Celery"
"celery stalk","Celery"
"apium","Celery"
"mustards","Mustard"
"mustard flowers","Mustard"
"mustard fruit","Mustard"
"mustard greens","Mustard"
"mustard gum","Mustard"
"mustard meal","Mustard"
"mustard oil","Mustard"
"mustard paste","Mustard"
"mustard powder","Mustard"
"mustard seed","Mustard"
"spicy mustard","Mustard"
"dijon mustard","Mustard"
"prepared mustard","Mustard"
"brown mustard","Mustard"
"yellow mustard","Mustard"
"coarse mustard","Mustard"
"mustard soup","Mustard"
"mustard soup mix","Mustard"
"mustard herb","Mustard"
"white mustard","Mustard"
"black mustard seed","Mustard"
"brighton flour","Gluten"
"game mustard","Mustard"
"mustard gazpacho","Mustard"
"Lupin bean","Lupin"
"lupin flour","Lupin"
"lupin protein","Lupin"
"lupini bean","Lupin"
"lupine","Lupin"
"lupins","Lupin"
"blue lupin","Lupin"
"lupin kernel","Lupin"
"lupin seed","Lupin"
"pearl lupin","Lupin"
"white lupin","Lupin"
"lupin extract","Lupin"
"lupin isolate","Lupin"
"lupin oil","Lupin"
"lupin paste","Lupin"
"lupin starch","Lupin"
"lupin tofu","Lupin"
"sulphite","Sulphites"
"sulphites","Sulphites"
"sulfur dioxide","Sulphites"
"sulphur dioxide","Sulphites"
"sulfite","Sulphites"
"sulfites","Sulphites"
"metabisulfite","Sulphites"
"bisulfite","Sulphites"
"bisulphite","Sulphites"
"E220","Sulphites"
"E221","Sulphites"
"E222","Sulphites"
"E223","Sulphites"
"E224","Sulphites"
"E226","Sulphites"
"E227","Sulphites"
"E228","Sulphites"
"sodium bisulfite","Sulphites"
"sodium metabisulfite","Sulphites"
"sodium pyrosulfite","Sulphites"
"sodium sulfite","Sulphites"
"calcium sulfite","Sulphites"
"potassium bisulfite","Sulphites"
"potassium metabisulfite","Sulphites"
"potassium pyrosulfite","Sulphites"
"potassium sulfite","Sulphites"
"sulfiting agents","Sulphites"
"sulfurous acid","Sulphites"
"wine","Sulphites"
"maltodextrin","Sulphites"
"modified food starch","Sulphites"
"cola drinks","Sulphites"
"instant mashed potatoes","Sulphites"
"preservative 223","Sulphites"
"preservative 224","Sulphites"
"preservative 226","Sulphites"
"preservative 228","Sulphites"
"bread crumbs","Gluten"
"graham cracker crust","Gluten"
"self-raising flour","Gluten"
"self-rising flour","Gluten"
"cake flour","Gluten"
"pastry flour","Gluten"
"all-purpose flour","Gluten"
"whole wheat","Gluten"
"wholemeal flour","Gluten"
"cracker crumbs","Gluten"
"saltine crackers","Gluten"
"beer batter","Gluten"
"panko breadcrumbs","Gluten"
"spaghetti","Gluten"
"fettuccine","Gluten"
"couscous salad","Gluten"
"bulgur pilaf","Gluten"
"farro grain","Gluten"
"seitan strips","Gluten"
"orzo pasta","Gluten"
"rye bread","Gluten"
"barley soup","Gluten"
"semolina porridge","Gluten"
"wheat bran flakes","Gluten"
"matzo meal","Gluten"
"malt vinegar","Gluten"
"soy sauce","Gluten"
"whipped cream","Milk"
"heavy cream","Milk"
"cream cheese","Milk"
"cheddar cheese","Milk"
"mozzarella","Milk"
"parmesan","Milk"
"evaporated milk","Milk"
"condensed milk","Milk"
"milk powder","Milk"
"whey protein","Milk"
"casein powder","Milk"
"custard","Milk"
"ice cream","Milk"
"milk chocolate","Milk"
"white chocolate","Milk"
"yogurt drink","Milk"
"buttermilk ranch dressing","Milk"
"coffee creamer","Milk"
"ricotta","Milk"
"feta cheese","Milk"
"blue cheese","Milk"
"whey concentrate","Milk"
"mayonnaise","Egg"
"aioli","Egg"
"egg noodles","Egg"
"egg wash","Egg"
"angel food cake","Egg"
"meringue powder","Egg"
"egg white powder","Egg"
"deviled eggs","Egg"
"omelette","Egg"
"scrambled eggs","Egg"
"quiche","Egg"
"frittata","Egg"
"hollandaise sauce","Egg"
"caesar dressing","Egg"
"egg fried rice","Egg"
"eggnog","Egg"
"custard tart","Egg"
"brioche","Egg"
"panettone","Egg"
"pasta carbonara","Egg"
"egg rolls","Egg"
"pavlova","Egg"
"fish sauce","Fish"
"anchovy paste","Fish"
"katsuobushi","Fish"
"dashi stock","Fish"
"tuna salad","Fish"
"smoked salmon","Fish"
"cod fillet","Fish"
"sardine spread","Fish"
"tilapia nuggets","Fish"
"pollock sticks","Fish"
"surimi crab","Fish"
"imitation crab meat","Fish"
"whitefish dip","Fish"
"salmon roe","Fish"
"trout fillet","Fish"
"mackerel pâté","Fish"
"herring kipper","Fish"
"anchovies in oil","Fish"
"snapper ceviche","Fish"
"fish stock cube","Fish"
"worcestershire sauce","Fish"
"caesar dressing","Fish"
"sushi tuna","Fish"
"fish fingers","Fish"
"bagel with lox","Fish"
"shrimp paste","Crustaceans"
"shrimp chips","Crustaceans"
"prawn crackers","Crustaceans"
"lobster bisque","Crustaceans"
"crab cakes","Crustaceans"
"crab sticks","Fish"
"krill oil supplement","Crustaceans"
"crawfish etouffee","Crustaceans"
"scampi","Crustaceans"
"langoustine tail","Crustaceans"
"shrimp cocktail","Crustaceans"
"tempura shrimp","Crustaceans"
"garlic butter prawns","Crustaceans"
"gumbo with crab","Crustaceans"
"seafood stock","Crustaceans"
"shrimp ramen","Crustaceans"
"lobster roll","Crustaceans"
"crab salad","Crustaceans"
"shrimp fried rice","Crustaceans"
"red curry with prawns","Crustaceans"
"lobster ravioli","Crustaceans"
"shrimp dumplings","Crustaceans"
"prawn skewer","Crustaceans"
"shrimp spring roll","Crustaceans"
"seafood paella","Crustaceans"
"oyster sauce","Molluscs"
"clam chowder","Molluscs"
"mussel soup","Molluscs"
"scallop ceviche","Molluscs"
"squid rings","Molluscs"
"calamari fries","Molluscs"
"octopus salad","Molluscs"
"snail butter","Molluscs"
"escargot","Molluscs"
"clam juice","Molluscs"
"oyster dressing","Molluscs"
"mussel paella","Molluscs"
"cuttlefish ink pasta","Molluscs"
"abalone steak","Molluscs"
"clam strips","Molluscs"
"fried oysters","Molluscs"
"oyster extract","Molluscs"
"octopus carpaccio","Molluscs"
"squid ink risotto","Molluscs"
"cockle stew","Molluscs"
"scallop gratin","Molluscs"
"mussel marinara","Molluscs"
"oyster po boy","Molluscs"
"clam linguine","Molluscs"
"seafood gumbo","Molluscs"
"almond milk","Tree Nuts"
"almond flour","Tree Nuts"
"almond butter","Tree Nuts"
"pistachio ice cream","Tree Nuts"
"pecan pie","Tree Nuts"
"walnut brownies","Tree Nuts"
"hazelnut spread","Tree Nuts"
"nutella","Tree Nuts"
"macadamia cookies","Tree Nuts"
"brazil nut mix","Tree Nuts"
"pine nut pesto","Tree Nuts"
"praline","Tree Nuts"
"marzipan","Tree Nuts"
"cashew cheese","Tree Nuts"
"cashew butter","Tree Nuts"
"pecan pralines","Tree Nuts"
"walnut oil","Tree Nuts"
"almond biscotti","Tree Nuts"
"pistachio baklava","Tree Nuts"
"hazelnut latte","Tree Nuts"
"almond joy bar","Tree Nuts"
"nut brittle","Tree Nuts"
"trail mix","Tree Nuts"
"granola with nuts","Tree Nuts"
"peanut butter","Peanuts"
"peanut oil","Peanuts"
"boiled peanuts","Peanuts"
"roasted peanuts","Peanuts"
"satay sauce","Peanuts"
"peanut satay","Peanuts"
"pad thai","Peanuts"
"peanut brittle","Peanuts"
"chocolate peanut cluster","Peanuts"
"peanut flour","Peanuts"
"salted peanuts","Peanuts"
"peanut sauce packet","Peanuts"
"kung pao peanuts","Peanuts"
"thai peanut dressing","Peanuts"
"peanut cookie","Peanuts"
"energy bar","Peanuts"
"peanut granola","Peanuts"
"peanut protein powder","Peanuts"
"honey roasted peanuts","Peanuts"
"peanut candy","Peanuts"
"peanut noodles","Peanuts"
"peanut soup","Peanuts"
"peanut chutney","Peanuts"
"peanut caramel","Peanuts"
"peanut dip","Peanuts"
"soy lecithin","Soy"
"soy sauce","Soy"
"tamari","Soy"
"shoyu","Soy"
"teriyaki sauce","Soy"
"miso paste","Soy"
"tofu","Soy"
"tofu scramble","Soy"
"tempeh","Soy"
"edamame beans","Soy"
"textured vegetable protein","Soy"
"tvp crumbles","Soy"
"soy protein isolate","Soy"
"soy milk","Soy"
"soy yogurt","Soy"
"soy flour","Soy"
"natto","Soy"
"soy burger","Soy"
"soy hot dog","Soy"
"veggie sausage","Soy"
"soy cheese","Soy"
"chocolate with soy lecithin","Soy"
"soybean oil","Soy"
"soy infant formula","Soy"
"soy mayonnaise","Soy"
"tahini","Sesame"
"tahini paste","Sesame"
"sesame seeds","Sesame"
"sesame oil","Sesame"
"sesame snaps","Sesame"
"sesame brittle","Sesame"
"gomasio","Sesame"
"halvah","Sesame"
"sesame bun","Sesame"
"sesame crackers","Sesame"
"bagel with sesame","Sesame"
"sushi with sesame","Sesame"
"sesame dressing","Sesame"
"til oil","Sesame"
"benne seed","Sesame"
"gingelly oil","Sesame"
"sesame candy","Sesame"
"sesame chicken","Sesame"
"toasted sesame seeds","Sesame"
"sweet sesame ball","Sesame"
"sesame pita","Sesame"
"sesame bar","Sesame"
"sesame hummus","Sesame"
"sesame bagel","Sesame"
"sesame sticks","Sesame"
"celery salt","Celery"
"celery seed","Celery"
"celery juice","Celery"
"celeriac mash","Celery"
"bouillon cube","Celery"
"chicken stock cube","Celery"
"vegetable bouillon","Celery"
"bloody mary mix","Celery"
"mirepoix mix","Celery"
"celery powder","Celery"
"celery flakes","Celery"
"celery root salad","Celery"
"celery soup","Celery"
"celery smoothie","Celery"
"celery relish","Celery"
"celery pickle","Celery"
"celery seasoning","Celery"
"celery leaf","Celery"
"celery stalks","Celery"
"celery sticks","Celery"
"celery dip","Celery"
"celery sauce","Celery"
"celery casserole","Celery"
"celery slaw","Celery"
"celery tomato juice","Celery"
"yellow mustard","Mustard"
"dijon mustard","Mustard"
"wholegrain mustard","Mustard"
"english mustard","Mustard"
"honey mustard","Mustard"
"mustard powder","Mustard"
"mustard flour","Mustard"
"german mustard","Mustard"
"brown mustard","Mustard"
"mustard seeds","Mustard"
"mustard relish","Mustard"
"beer mustard","Mustard"
"spicy mustard","Mustard"
"mustard dressing","Mustard"
"mustard sauce","Mustard"
"mustard glaze","Mustard"
"mustard mayo","Mustard"
"mustard greens","Mustard"
"mustard chutney","Mustard"
"sweet mustard","Mustard"
"stone ground mustard","Mustard"
"hot dog mustard","Mustard"
"mustard aioli","Mustard"
"mustard vinaigrette","Mustard"
"mustard dip","Mustard"
"lupin flour","Lupin"
"lupin pasta","Lupin"
"lupini beans","Lupin"
"lupin bread","Lupin"
"lupin crackers","Lupin"
"lupin flakes","Lupin"
"lupin protein powder","Lupin"
"lupin tempeh","Lupin"
"lupin cereal","Lupin"
"lupin tortilla","Lupin"
"lupin gnocchi","Lupin"
"lupin hummus","Lupin"
"lupin muffin","Lupin"
"lupin cookie","Lupin"
"lupin pancake","Lupin"
"lupin waffle","Lupin"
"lupin snack","Lupin"
"lupin chips","Lupin"
"lupin falafel","Lupin"
"lupini snack","Lupin"
"lupin yoghurt","Lupin"
"lupin milk","Lupin"
"lupin granola","Lupin"
"lupin burger","Lupin"
"lupin meatball","Lupin"
"dried apricots","Sulphites"
"golden raisins","Sulphites"
"wine","Sulphites"
"balsamic vinegar","Sulphites"
"coconut milk (preserved)","Sulphites"
"canned fruit cocktail","Sulphites"
"maraschino cherries","Sulphites"
"pickled onions","Sulphites"
"sun-dried tomatoes","Sulphites"
"apple cider vinegar","Sulphites"
"grape juice concentrate","Sulphites"
"lemon juice concentrate","Sulphites"
"molasses","Sulphites"
"sweet white wine","Sulphites"
"sherry","Sulphites"
"port wine","Sulphites"
"canned mushrooms","Sulphites"
"corn syrup (sulfited)","Sulphites"
"dehydrated potatoes","Sulphites"
"frozen shrimp","Sulphites"
"sulfited coconut","Sulphites"
"sulfited lemon peel","Sulphites"
"fruit pie filling","Sulphites"
"peach halves in syrup","Sulphites"
"cider vinegar","Sulphites"
"sauerkraut (sulfited)","Sulphites"
