id,recipe_title,ingredients,true_allergens
14932,Three-Cup Chicken,"1 fresh chicken (chopped into identical-sized parts)
1 scant cup black sesame oil
1 scant cup soy sauce
1 scant cup Hua Tiao Chinese rice wine (or COGNAC!)
1 bulb garlic, separated into individual cloves, skins on
3 slices old ginger
1 tablespoon thumb size rock sugar (or 2  fine sugar - a little more or less won't hurt)
3 inches large bunches of spring onions, cut into 1 inch lengths
2-3 leaves of basil, julienned",Sesame;Soy;Sulphites
15652,Classic Delicious Artichokes,"4 artichokes
5 cloves garlic – chopped fine
½ cup grated Parmesan cheese or Romano cheese
½ cup Italian Parsley – chopped fine
½ tsp. red pepper flakes
2 cups Italian style bread crumbs
3 – 4 tablespoons olive oil",Milk;Gluten
15283,Zucchini Ribbon and Ricotta Pizza,"1, 12-inch prepared pizza crust
1/2 cup ricotta cheese
1 small zucchini (gently run a vegetable peeler the length of the zucchini to make thin “ribbons”)
1 tablespoon olive oil
1 garlic clove, minced
Two teaspoons lemon zest
1/8 teaspoon salt
1/8 teaspoon ground black pepper
1/8 cup Kalamata olives, sliced
1 tablespoon pine nuts
1/4 cup shredded Parmesan cheese",Gluten;Milk;Tree Nuts
15561,Green Tea Bites for an Afternoon Treat,"1 cup APF
1/4 cup sugar
1/4 cup powdered confectioners sugar
1/2 tablespoon green tea (matcha) powder
1 Teaspoon Green Tea leaves (finely ground)
1/4 teaspoon salt
1/4 teaspoon vanilla
3-4 teaspoons water
1/2 cup unsalted butter (molten in microwave for 30 secs on high)
2 Tsp extra sugar for coating",Gluten;Milk
15920,Mixed Mustard Pickles,"1 lrg Cauliflower
3 lrg Green Peppers
1 lrg Sweet Red Pepper
3 cups Small White Onions, Pearl Onions
2 pounds Green Tomatoes
3 cups Tiny (Pickling) Whole Cucumbers
1 quart Cucumber Slices, Unpared, ⅛-Inch Thick
1 cup Salt
1 quart ,Cold Water
1 1/2 quarts Vinegar
2 cups Granulated Sugar
2 teaspoons Celery Seed
3/4 cup Unbleached All-Purpose Flour Sifted
1/4 pound Dry Mustard, 1 ¼ Cups
1 1/2 teaspoons Tumeric
2 cups ,Cold Water",Gluten;Celery;Mustard
14805,"Baked Tomato, Goat Cheese and Swiss Chard Dip","1 bunch of Swiss Chard (about 7 oz) leaves halved then sliced into 1/2 inch ribbons
2 garlic cloves, sliced
1 T olive oil
1/8 t chili flakes (or to taste)
1 - 14.5 oz can of diced tomatoes
1 - 4 oz log of goat cheese
1/4 C shredded parmesan",Milk
16875,Traditional Baked Mooncake,"450g Hong Kong flour (sifted)
270g Sugar syrup/golden syrup
9g Alkaline water
113g Peanut oil
550g Lotus paste
9 Salted egg yolks
550g Black sesame paste
180g Mung bean paste",Gluten;Peanuts;Egg;Sesame
14607,Cottage Cheese Pie,"2 cups (1 pound) cottage cheese
2 tablespoons melted or softened butter
1 cup thin cream or milk
2 tablespoons lemon juice and 1 tsp grated lemon rind, or 1 tsp vanilla
1 cup sugar
1 tablespoon flour
3 egg yolks",Milk;Gluten;Egg
14025,Quinoa Salad with Warm Bacon Vinaigrette,"3 slices of bacon
3 cups (710 mL) cooked and cooled tri-color or white quinoa
1 15 oz can black beans, drained and rinsed
1 small red bell pepper, seeded and diced
2 green onions, thinly sliced
3 tbsp lime juice
1 tsp whole-grain mustard (optional)
1 tsp chili powder
3/4 tsp salt
1/4 cup (60 mL) olive oil
1/4 cup (60 mL) cilantro, coarsely chopped",Mustard
15485,Stuffed Cucumber Kimchi,"3 long, skinny cucumbers
2 ounces green onions, chopped
2 tablespoons minced shallots
1 tablespoon minced garlic
1 teaspoon minced ginger
2 tablespoons ground red pepper
1 tablespoon tiny salted shrimp (optional)
1 1/4 teaspoons salt
3 tablespoons water
Kosher salt or coarse sea salt",Crustaceans
15730,Potato Leek Soup!!!,"5 lbs. potatoes – peeled and sliced
2 large leeks – cleaned and chopped
15 cloves of garlic – chopped
1 large onion – sliced
Healthy handful of Italian parsley - chopped
12 cups of chicken broth
Juice of 1 lemon
Dashes of salt
Dashes of black pepper
Olive oil",
16414,Tequila Lime Flat Iron Steak,"1 cup tequila
1/3 to ¼ cup lime juice (4 limes)
5 tablespoons honey
1 teaspoon orange calendula sugar
1 teaspoon Mural of Flavor by Penzeys spices
Salt and pepper
2 pound flat iron steak, cut in half and fork poked
3 garlic cloves, peeled, core end removed
2 tablespoons cilantro, cleaned, stems removed and chopped
2 tablespoons sugar
Salt and pepper
2 tablespoons unsalted butter",Milk
15052,Halal Pina Colada from Haspania (Spain),"Chilled Pine apple Chunks  1 Cup
Coconut Milk Chilled  1/3 cup
Vanilla Ice Cream  2 scoopes
Ice Cubes as needed",Milk
14317,Whole Grain Pumpkin Bread,"1 cup oil or butter
1 1/2 cups firmly packed light brown sugar
1/2 cup molasses
2 eggs, well beaten
16 ounces can pumpkin (Libby's)
2 cups flour
1/2 cup whole wheat flour
cup wheat bran
cup oat bran
cup wheat germ
2 teaspoons baking soda
2 teaspoons cinnamon
1 teaspoon cloves
1 teaspoon nutmeg
1/2 teaspoon salt
1/4 cup pecans, finely chopped (optional)",Gluten;Milk;Egg;Tree Nuts
15430,Mangoes with Rum and Ice Cream,"2 ripe mangoes
3 tablespoons sugar
2 tablespoons dark rum
3 tablespoons fresh lime juice (or a mix of lemon and lime)
1 tablespoon grated lime rind
Vanilla ice cream",Milk
16972,"Arugala, Chick-peas, Sausage & Spaghetti!!!","1 head of Arugala – sliced
4 sweet sausage links - grilled
7 cloves of garlic – chopped
1 large red onion – sliced
1 jalapeño – grilled and chopped with seeds
29 oz. can of chick-peas – drained & rinsed
Dashes of sea salt
Dashes of red pepper flakes
Handful of fresh cilantro – for garnish
Romano cheese for grating
Olive oil for drizzling
1 box of your favorite spaghetti",Gluten;Milk
15484,Healthy Black Forest Baked Oatmeal,"1 cup rolled oats (not instant)
½ cup applesauce
½ cup fat free milk (or dairy free milk, to make vegan)
¾ cup pitted cherries (fresh or frozen)
½ Tsp. vanilla extract
¼ cup chocolate chips
1 Tbsp. chia seeds
1 Tbsp. cocoa powder",Gluten;Milk
16158,THE hambuger recipe,"1 kg of ground beef
3 onions
2 Tbsp of extra virgin olive oil
2 Tsp of mustard
½ Tbsp of minced rosemary
salt
pepper
oil to grease the pan",Mustard
16510,Thai Mussel Salad,"15 fresh mussels, cleaned and de-bearded
5 small Squids, cut into bite size
2-3 Shallots, sliced.
1 Onion, sliced
5-6 Bird eyes chilies (spiciness to your preference)
2 tomatoes, wedges. ( Can be replaced with cherry tomatoes)
Fresh Mint Leaves.
Fresh coriander
1 Leaf Lettuce.
SEASONING: (TO YOUR TASTE)
3 tbsp Fish Sauce
3 tbsp Lime/Lemon Juice
1 tsp Sugar",Molluscs;Fish
14297,Spanish “Ketchup” – Romesco Sauce,"1 (15 ounce) can Fire Roasted Diced Tomatoes, drained
2 red bell peppers
3 cloves of garlic, peeled & rough chopped
¼ cup smoked almonds, toasted & rough chopped
2 tablespoons red wine vinegar
1 tablespoon sugar
2 tablespoons fresh oregano
2 tablespoons fresh flat-leaf parsley
1 teaspoon fresh rosemary
1 teaspoon smoked paprika
½ teaspoon chili powder
½ cup olive oil
Kosher salt & freshly cracked black pepper",Tree Nuts;Sulphites
14945,Tex-Mex Polenta Rounds with Chunky Guacamole,"Rounds:
One tube Polenta
Chili Powder, to taste
Toppings:
4 Avocados
1/2 Yellow Onion, Diced
1/2 Green Pepper, Diced
Salt, Pepper, Lime Juice, Chipotle powder, and garlic powder to taste
Salsa
Colby Jack Cheese, as desired.",Milk
13831,Baked Sweet Potato Fries Recipe,"Prepare and Preheat:Preheat your oven to 425°F (220°C). Line a baking sheet with parchment paper to prevent sticking.
Preheat your oven to 425°F (220°C). Line a baking sheet with parchment paper to prevent sticking.
Cut and Season the Sweet Potatoes:Peel the sweet potatoes and slice them into thin, even strips. Try to keep them similar in size for even cooking.Place the sweet potato strips in a large bowl, and drizzle with olive oil. Add salt, black pepper, paprika, and garlic powder. Toss well to coat.If you want extra crispy fries, sprinkle with cornstarch and toss again until evenly coated.
Peel the sweet potatoes and slice them into thin, even strips. Try to keep them similar in size for even cooking.
Place the sweet potato strips in a large bowl, and drizzle with olive oil. Add salt, black pepper, paprika, and garlic powder. Toss well to coat.
If you want extra crispy fries, sprinkle with cornstarch and toss again until evenly coated.
Arrange on Baking Sheet:Spread the sweet potato fries on the baking sheet in a single layer, ensuring they don’t touch each other. This helps them bake evenly and get crispy.
Spread the sweet potato fries on the baking sheet in a single layer, ensuring they don’t touch each other. This helps them bake evenly and get crispy.
Bake the Fries:Bake for 15 minutes, then remove the baking sheet and flip the fries. Return to the oven and bake for an additional 10-15 minutes, or until they’re golden and crispy on the edges.
Bake for 15 minutes, then remove the baking sheet and flip the fries. Return to the oven and bake for an additional 10-15 minutes, or until they’re golden and crispy on the edges.
Cool and Serve:Let the fries cool on the baking sheet for a few minutes. Serve warm with your favorite dipping sauce!
Let the fries cool on the baking sheet for a few minutes. Serve warm with your favorite dipping sauce!",
15644,Boneless Dill Chicken Breast with Dill Cream Cheese,"3 lbs. of boneless chicken breast
For the Marinade
Juice of 1 lemon
3 cloves garlic – chopped
¼ - ½ cup fresh dill – chopped
½ tsp. salt
½ tsp. black pepper
½ tsp. ground coriander
2 tsp. olive oil
For the Dill Cream Cheese Side Dip
8 oz. of cream cheese
¼ lemon wedge
¼ cup of fresh dill
1 clove of garlic
¼ tsp. salt
¼ tsp. black pepper
¼ cup of milk",Milk
14403,Burgers and Beans and a Wrap,"For the Beans:
32 oz. can of baked beans
1 jalapeño – grilled and chopped with or without seeds
1 large onion – sliced
½ cup chopped Italian parsley
3 cloves garlic – chopped
1 tbs. brown sugar
½ tsp. turmeric
1 tsp. ground cumin
½ tsp. salt
½ tsp. black pepper
2 tbs. olive oil
For the Burgers:
3 lbs. of bottom round roast beef
8 oz. block of cheddar cheese – shredded
½ cup chopped Italian parsley
3 cloves of garlic – chopped
4 tbs. of Worcestershire sauce
2 tbs. of olive oil or butter for frying
Sliced tomatoes
Your favorite lettuce greens
Ketchup/mustard
Homemade wraps
For the Wraps:
3 cups flour
1 tsp. baking powder
¾ cup warm water
½ cup olive oil
½ cup Italian parsley – chopped
½ tsp. salt
½ tsp. black pepper
½ tsp. garlic powder",Gluten;Milk;Mustard;Fish
14660,Butter Cookies Giangi's Style,"2 cubes, 4 ounces each cube, unsalted butter
1/2 cup sugar
2 tablespoons water
½ teaspoon almond extract
2 cups flour",Milk;Tree Nuts;Gluten
14866,Bacon Infused Vodka,"1 lb of low sodium bacon
1 liter of Finlandia Vodka",
14910,Tasty Flower Crab Soup,"1 Flower Crab
250g Enoki
1 sprig Spring Onion
500ml Chicken broth
5 tbsp Carnation Evaporate Milk
1 tso Oyster sauce
½ tsp Salt
! tsp minced Ginger
2 tsp Chinese Cooking Wine",Crustaceans;Milk;Molluscs;Sulphites
16151,CHICKEN AND WINE OVER PARSLIED PASTA,"1/2 tsp. Diamond kosher salt + 1/4 tsp. + 1/4 tsp.
1/4 tsp. white pepper + 1/8 tsp.
1/8 tsp. cayenne pepper
1/4 tsp. smoked paprika
3 Tbsp. white whole wheat flour + 1-1/2 Tbsp.
4 boneless skinless chicken breasts
1/2 lb. pasta of choice*
1-1/2 Tbsp. unsalted butter + 1 Tbsp. + 1-1/2 Tbsp.
1 medium onion (about 1 cup), finely chopped
1-2 tsp. minced garlic, according to taste
8 oz. sliced mushrooms
1/2 cup dry white wine, drinking quality
1/2 cup low-sodium chicken broth + additional broth if needed for gravy consistency
1-1/2 tsp. lemon juice
1/4 cup chopped fresh parsley
*If you are big pasta eaters, you may want to increase the amount.",Gluten;Milk;Sulphites
15209,Seafood Italian Salad with Olives,"¾ lb baby fingerling potatoes, diced
4 garlic cloves, whole and peeled
2 bay leafs
½ teaspoon red pepper flakes
1 ½ lbs seafood medley: sliced calamari, cooked clams and mussels, shells removed
6 oz black olives, such as Kalamata, pitted and halved
½ cup cherry tomatoes, halved
2 tablespoons Italian parsley leaves, rough chopped
1 ½ tablespoon capers
1-2 tablespoons red wine vinegar
¼ cup extra virgin olive oil
½ teaspoon kosher salt, or to taste
¼ teaspoon ground black pepper, or to taste",Molluscs;Sulphites
13667,Garlic Zoodles with Fried Chickpeas.,"▢15ounceschickpeasdrained and rinsed
▢1Tablespoonolive oil
▢½teaspoononion powder
▢½teaspoongarlic powder
▢½teaspooncumin
▢½teaspoonpaprika
▢½teaspoonsea salt
▢4zucchinimedium sized
▢2Tablespoonsolive oil
▢6clovesgarlicminced
▢1cupgrape tomatoes
▢salt and pepper to taste",
15682,Black Cow,"2 cups Root Beer
1 cup Ice Cream",Milk
14902,Left-Over Candy Cookies,"2 cups flour
4 tablespoons - butter
½ tsp. baking powder
¼ tsp salt
½  cup walnuts
Left over chocolate candy – equaling 1 cup after chopped
1 egg
¼ cup brown sugar
¼ cup granulated sugar
¼ cup milk
1 tsp. vanilla
Sugar Dusting:
1 tablespoon sugar
Dashes of cinnamon",Gluten;Milk;Tree Nuts;Egg
15811,Crispy Panko and Herb Crusted Salmon,"2 pound salmon fillet
1/2 leek finely chopped (white part of the leek)
1/2 red pepper diced
6 cherry tomatoes chopped
2-3 tablespoons extra virgin olive oil
1 1/2 cup panko crumbs
1/2 cup Italian parsley finely chopped
1 garlic clove finely chopped
zest of one lemon
1/2 teaspoon salt
dash of pepper
3 tablespoons extra virgin olive oil",Fish;Gluten
